"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
2008,1,"Kreis 1",1,"Verheiratetentarif",276,60,1028
2008,1,"Kreis 1",2,"Einelternfamilientarif",75.5,3,298
2008,2,"Kreis 2",0,"Grundtarif",38,3,186
2008,2,"Kreis 2",1,"Verheiratetentarif",162,24,507
2008,2,"Kreis 2",2,"Einelternfamilientarif",18,0,96
2008,3,"Kreis 3",0,"Grundtarif",22,0,100
2008,3,"Kreis 3",1,"Verheiratetentarif",53,0,228
2008,3,"Kreis 3",2,"Einelternfamilientarif",5,0,51
2008,4,"Kreis 4",0,"Grundtarif",9,0,58.5
2008,4,"Kreis 4",1,"Verheiratetentarif",4,0,91
2008,4,"Kreis 4",2,"Einelternfamilientarif",0,0,26
2008,5,"Kreis 5",0,"Grundtarif",19,0,86
2008,5,"Kreis 5",1,"Verheiratetentarif",32,0,190
2008,5,"Kreis 5",2,"Einelternfamilientarif",12,0,82
2008,6,"Kreis 6",0,"Grundtarif",42,4,178
2008,6,"Kreis 6",1,"Verheiratetentarif",175,33,553
2008,6,"Kreis 6",2,"Einelternfamilientarif",29,0,134
2008,7,"Kreis 7",0,"Grundtarif",65,8,323
2008,7,"Kreis 7",1,"Verheiratetentarif",375,86.5,1258
2008,7,"Kreis 7",2,"Einelternfamilientarif",47,2,236.5
2008,8,"Kreis 8",0,"Grundtarif",48,4,214
2008,8,"Kreis 8",1,"Verheiratetentarif",228,45,779
2008,8,"Kreis 8",2,"Einelternfamilientarif",36.5,2,198.5
2008,9,"Kreis 9",0,"Grundtarif",20,0,107
2008,9,"Kreis 9",1,"Verheiratetentarif",61,0,260
2008,9,"Kreis 9",2,"Einelternfamilientarif",2,0,38
2008,10,"Kreis 10",0,"Grundtarif",37,3,164
2008,10,"Kreis 10",1,"Verheiratetentarif",163,24,500
2008,10,"Kreis 10",2,"Einelternfamilientarif",18,0,94
2008,11,"Kreis 11",0,"Grundtarif",18,0,98
2008,11,"Kreis 11",1,"Verheiratetentarif",58,0,250
2008,11,"Kreis 11",2,"Einelternfamilientarif",2,0,36
2008,12,"Kreis 12",0,"Grundtarif",10,0,67
2008,12,"Kreis 12",1,"Verheiratetentarif",23,0,152
2008,12,"Kreis 12",2,"Einelternfamilientarif",0,0,14
2009,1,"Kreis 1",0,"Grundtarif",39,2,235
2009,1,"Kreis 1",1,"Verheiratetentarif",307,56,1104
2009,1,"Kreis 1",2,"Einelternfamilientarif",73.5,8.5,238.5
2009,2,"Kreis 2",0,"Grundtarif",40,3,198
2009,2,"Kreis 2",1,"Verheiratetentarif",184,29,558
2009,2,"Kreis 2",2,"Einelternfamilientarif",20.5,0,108
2009,3,"Kreis 3",0,"Grundtarif",22,0,106
2009,3,"Kreis 3",1,"Verheiratetentarif",62,0,251
2009,3,"Kreis 3",2,"Einelternfamilientarif",6,0,62
2009,4,"Kreis 4",0,"Grundtarif",10,0,64
2009,4,"Kreis 4",1,"Verheiratetentarif",6,0,105
2009,4,"Kreis 4",2,"Einelternfamilientarif",1,0,37
2009,5,"Kreis 5",0,"Grundtarif",19,0,94
2009,5,"Kreis 5",1,"Verheiratetentarif",39,0,222
2009,5,"Kreis 5",2,"Einelternfamilientarif",27,0,93
2009,6,"Kreis 6",0,"Grundtarif",44,5,187
2009,6,"Kreis 6",1,"Verheiratetentarif",195,41,624.5
2009,6,"Kreis 6",2,"Einelternfamilientarif",35,0,143.5
2009,7,"Kreis 7",0,"Grundtarif",69,8,337
2009,7,"Kreis 7",1,"Verheiratetentarif",440.5,100,1419.5
2009,7,"Kreis 7",2,"Einelternfamilientarif",70,4,295
2009,8,"Kreis 8",0,"Grundtarif",54,5,234
2009,8,"Kreis 8",1,"Verheiratetentarif",258,54,873
2009,8,"Kreis 8",2,"Einelternfamilientarif",47,1,243
2009,9,"Kreis 9",0,"Grundtarif",21,0,116
2009,9,"Kreis 9",1,"Verheiratetentarif",68,0,286
2009,9,"Kreis 9",2,"Einelternfamilientarif",3,0,44
2009,10,"Kreis 10",0,"Grundtarif",39,4,178
2009,10,"Kreis 10",1,"Verheiratetentarif",187,31,566
2009,10,"Kreis 10",2,"Einelternfamilientarif",23,0,127
2009,11,"Kreis 11",0,"Grundtarif",19,0,105
2009,11,"Kreis 11",1,"Verheiratetentarif",66,0,276
2009,11,"Kreis 11",2,"Einelternfamilientarif",3,0,45
2009,12,"Kreis 12",0,"Grundtarif",10,0,69
2009,12,"Kreis 12",1,"Verheiratetentarif",23,0,159
2009,12,"Kreis 12",2,"Einelternfamilientarif",0,0,17
2010,1,"Kreis 1",0,"Grundtarif",37,2,234
2010,1,"Kreis 1",1,"Verheiratetentarif",307,64,1059
2010,1,"Kreis 1",2,"Einelternfamilientarif",61.5,5,230
2010,2,"Kreis 2",0,"Grundtarif",41,4,200
2010,2,"Kreis 2",1,"Verheiratetentarif",190,33,573
2010,2,"Kreis 2",2,"Einelternfamilientarif",19,0,96
2010,3,"Kreis 3",0,"Grundtarif",24,0,110
2010,3,"Kreis 3",1,"Verheiratetentarif",65,0,264
2010,3,"Kreis 3",2,"Einelternfamilientarif",8,0,67
2010,4,"Kreis 4",0,"Grundtarif",10,0,66
2010,4,"Kreis 4",1,"Verheiratetentarif",6,0,107
2010,4,"Kreis 4",2,"Einelternfamilientarif",1,0,42.5
2010,5,"Kreis 5",0,"Grundtarif",20,0,100
2010,5,"Kreis 5",1,"Verheiratetentarif",43.5,0,252
2010,5,"Kreis 5",2,"Einelternfamilientarif",32.5,0,104
2010,6,"Kreis 6",0,"Grundtarif",45,5,190
2010,6,"Kreis 6",1,"Verheiratetentarif",210,41,643
2010,6,"Kreis 6",2,"Einelternfamilientarif",37,0,165
2010,7,"Kreis 7",0,"Grundtarif",70,8,347
2010,7,"Kreis 7",1,"Verheiratetentarif",447,100,1465.5
2010,7,"Kreis 7",2,"Einelternfamilientarif",70,4,283
2010,8,"Kreis 8",0,"Grundtarif",55,5,245
2010,8,"Kreis 8",1,"Verheiratetentarif",269,60,894
2010,8,"Kreis 8",2,"Einelternfamilientarif",45,1,201
2010,9,"Kreis 9",0,"Grundtarif",21,0,115
2010,9,"Kreis 9",1,"Verheiratetentarif",68,0,288
2010,9,"Kreis 9",2,"Einelternfamilientarif",4,0,50
2010,10,"Kreis 10",0,"Grundtarif",41,4,181
2010,10,"Kreis 10",1,"Verheiratetentarif",191,31,572
